condition,fold,round_id,previous_best_seen,best_seen_fitness,best_seen_increment,new_record,round_max_variant,round_max_variant_id,round_max_fitness,n,min,q10,q25,mean,median,q75,q90,max,sd,mean_without_batch_max,max_minus_median,top1_positive_mass_share,fraction_le_0_05,fraction_ge_2,fraction_above_initial_best
kg_base,0,1,4.07312564853,4.4857497292,0.41262408067,True,IYGC,sha256:cad29236742d162b31dab9d4587a36b7578ea8c4a2ed7c7ce6832b41dd8696a0,4.4857497292,16,0.00136699917612,0.00469936194549,1.11033436194,2.18370380229,2.2824745173,3.48915007368,4.14325825748,4.4857497292,1.55060324402,2.03023407383,2.2032752119,0.128387081518,0.25,0.6875,0.125
kg_base,0,2,4.4857497292,4.4857497292,0,False,LFGC,sha256:99527d4c0968c0e8e932b939fe6e1c9a52f5bd2e408da081d403cf6bbf0f1bef,3.35884837877,16,0.00472557473812,0.00767427950437,0.0642082946658,1.41225933219,0.704564517819,2.89691593285,3.24089663885,3.35884837877,1.43942989334,1.28248672908,2.65428386095,0.148646936783,0.25,0.4375,0
kg_base,0,3,4.4857497292,6.02748854644,1.54173881724,True,LWAA,sha256:a99dd68c2a78a39df23531f52ef6e3d0d0df77c174722a7a56d625640b4c5ce0,6.02748854644,16,0.00137730319001,0.003032078208,0.00476499220261,1.13292187786,0.33357783706,1.76060393441,2.64550885124,6.02748854644,1.65350410426,0.806617433284,5.69391070938,0.332518986098,0.5,0.125,0.0625
kg_base,1,1,4.07312564853,4.4857497292,0.41262408067,True,IYGC,sha256:cad29236742d162b31dab9d4587a36b7578ea8c4a2ed7c7ce6832b41dd8696a0,4.4857497292,16,0.00435052912399,1.70982541226,2.10306752059,2.64789555126,2.68439013839,3.19196134603,3.91977084545,4.4857497292,1.0763797033,2.5253719394,1.80135959081,0.105880066886,0.0625,0.875,0.125
kg_base,1,2,4.4857497292,5.07529943739,0.58954970819,True,LYGV,sha256:8adcc9749599afd1dcad3ef9086feca9afaac8e0654ab85131de9e30f5b67919,5.07529943739,16,0.0101802381501,0.236346216596,1.65549354707,2.56480804409,2.78447243404,3.79681964672,4.21685290597,5.07529943739,1.61153495925,2.39744195121,2.29082700335,0.12367639581,0.0625,0.75,0.125
kg_base,1,3,5.07529943739,5.07529943739,0,False,IWGC,sha256:45302fd2336c6f0c849be772b66c0a97eda8cb186cc1ecd62d3bdb256da12568,3.95087308632,16,0.00367224930928,0.00704406877412,0.0132015836546,1.06112034622,0.439139569438,2.38061145116,2.66613458432,3.95087308632,1.30907336644,0.868470163548,3.51173351688,0.232706468003,0.4375,0.3125,0
kg_base,2,1,4.07312564853,5.07529943739,1.00217378886,True,LYGV,sha256:8adcc9749599afd1dcad3ef9086feca9afaac8e0654ab85131de9e30f5b67919,5.07529943739,16,0,0.117298616043,0.613824704135,2.28881227802,2.40309729585,3.5432450597,4.21685290597,5.07529943739,1.67059982924,2.10304646739,2.67220214154,0.138589878202,0.125,0.625,0.125
kg_base,2,2,5.07529943739,5.07529943739,0,False,LFGV,sha256:648a58c1136e58ad2f1666370f4a11707df38a2f596407bb78af38ed9d142ad0,4.02906611368,16,0.00247479309085,0.00460521748415,0.0135499253129,1.02250634655,0.0450182807896,1.74313271179,3.04659928142,4.02906611368,1.36403869626,0.822069028743,3.98404783289,0.246273906225,0.5,0.25,0
kg_base,2,3,5.07529943739,5.07529943739,0,False,FFGV,sha256:41f9338df9cb015caebad4802606627b924e8faa57f639990fad7d16a4a86bcf,3.60057588419,16,0.0069096639028,0.0121488113033,0.0240876105701,1.26902571957,0.977533729839,2.5628933982,2.76149440183,3.60057588419,1.28090312163,1.11358904193,2.62304215435,0.177329733584,0.3125,0.375,0
kg_base_al,0,1,4.07312564853,5.07529943739,1.00217378886,True,LYGV,sha256:8adcc9749599afd1dcad3ef9086feca9afaac8e0654ab85131de9e30f5b67919,5.07529943739,16,1.47154530648,2.52601107405,3.07542472555,3.52116485017,3.52635458333,4.11838124837,4.43674750976,5.07529943739,0.904897880233,3.41755587768,1.54894485406,0.0900855905176,0,0.9375,0.25
