condition,round_id,arm,n_folds,quota_per_fold_mean,quota_per_fold_min,quota_per_fold_max,wet_mean_mean,wet_mean_sd,wet_median_mean,wet_median_sd,wet_max_mean,wet_max_sd,predicted_mean_mean,predicted_mean_sd,fraction_le_0_05_mean,fraction_le_0_05_sd,fraction_ge_2_mean,fraction_ge_2_sd
kg_base,1,coverage_exploration,3,3,3,3,2.84502521255,0.442265838966,2.82800294559,0.685664208131,3.63166325264,0.278271395143,2.20196392801,0.249434300514,0,0,0.888888888889,0.19245008973
kg_base,1,evidence_prior,3,3,3,3,2.3384878166,1.32683145637,2.51498025853,2.25989047412,3.60515996289,1.34730360323,2.46414812406,0.5635835154,0.222222222222,0.38490017946,0.666666666667,0.333333333333
kg_base,1,hypothesis_target,3,8,8,8,2.71574781227,0.202129263581,2.52846112024,0.119576888156,4.33915332667,0.253912417389,2.63146885236,0.157577911951,0,0,0.833333333333,0.0721687836487
kg_base,1,matched_control,3,2,2,2,0.349503558073,0.581568520565,0.349503558073,0.581568520565,0.697101273379,1.16101972959,0.802682975928,0.22284187421,0.833333333333,0.288675134595,0.166666666667,0.288675134595
kg_base,2,coverage_exploration,3,3,3,3,0.523230375929,0.434663893081,0.0331391497478,0.0284674456046,1.52648929964,1.27615720184,1.43820281823,0.243548606691,0.555555555556,0.19245008973,0.222222222222,0.19245008973
kg_base,2,evidence_prior,3,3,3,3,1.81477607486,2.36528759527,1.60474894512,2.41883523596,2.43007358187,2.51711063945,2.20379206207,1.67640922421,0.222222222222,0.38490017946,0.444444444444,0.509175077217
kg_base,2,fallback_fill,2,4,3,5,0.68370564025,0.489831553009,0.136492775785,0.171441397656,2.23411296631,0.837517446886,1.44685237805,0.291779552711,0.566666666667,0.329983164554,0.166666666667,0.235702260396
kg_base,2,hypothesis_target,3,5.33333333333,3,8,3.1671571864,0.18925007712,3.15941450504,0.0170549078441,3.81129167135,0.391918429023,3.12272937629,0.0860326498113,0,0,1,0
kg_base,2,matched_control,3,2,2,2,0.734405919819,0.397372074946,0.734405919819,0.397372074946,0.985530563433,0.401399972804,0.922136545181,0.1212346896,0.166666666667,0.288675134595,0,0
kg_base,3,coverage_exploration,3,3,3,3,0.373887769087,0.466702032992,0.0127462882337,0.0121813039298,1.1010897315,1.38341273064,0.463447719812,0.405855065343,0.777777777778,0.19245008973,0.111111111111,0.19245008973
kg_base,3,evidence_prior,3,3,3,3,0.930907566665,0.845266371937,0.963608255068,0.899049650992,1.07358982999,0.94425743659,1.61998261346,0.359155549637,0.333333333333,0.57735026919,0,0
kg_base,3,hypothesis_target,3,8,8,8,1.59906734453,0.162774011628,1.18080188887,0.545457269431,4.52631250565,1.31180187587,1.57736232132,0.596167532851,0.25,0.25,0.416666666667,0.144337567297
kg_base,3,matched_control,3,2,2,2,0.881385467988,0.750730256366,0.881385467988,0.750730256366,1.75503580611,1.49823607483,0.67329253753,0.636690667726,0.666666666667,0.288675134595,0.333333333333,0.288675134595
kg_base_al,1,exploitation,3,8,8,8,3.66396985277,0.333787952329,3.55773114793,0.34453766618,5.07529943739,0,3.19657810529,0.166066599816,0,0,0.958333333333,0.0721687836487
kg_base_al,1,exploration,3,4,4,4,2.55196110869,0.425233018788,2.63219951955,0.498776461975,3.28101356729,0.497898076605,2.12020983299,0.142653028202,0,0,0.833333333333,0.144337567297
kg_base_al,1,knowledge,3,4,4,4,3.4441137553,0.468248394435,3.63854915596,0.375603771223,4.40304614939,0.0762139264335,3.31836950779,0.11808336446,0,0,0.916666666667,0.144337567297
kg_base_al,2,exploitation,3,8,8,8,3.10315154121,0.198782154475,2.88016572625,0.11876757689,4.18312903675,0.27429300659,3.01066889366,0.0731512716438,0,0,0.958333333333,0.0721687836487
kg_base_al,2,exploration,3,4,4,4,0.560567527923,0.530470364278,0.474133939507,0.55303686304,1.24502328682,0.978436792126,1.38278144598,0.106152481287,0.25,0.433012701892,0.166666666667,0.288675134595
kg_base_al,2,knowledge,3,4,4,4,1.88833644038,0.207364429604,2.00553734913,0.349955113066,3.48302809511,0.302162715442,2.84561240673,0.0713415812004,0.166666666667,0.144337567297,0.5,0
kg_base_al,3,exploitation,3,8,8,8,2.48790015321,0.402933702551,2.51149820559,0.301988544748,3.94686318573,0.363579897087,2.48881921172,0.2274103389,0,0,0.833333333333,0.190940653956
kg_base_al,3,exploration,3,4,4,4,0.136388798815,0.113645707734,0.0679079637542,0.0239090318803,0.396031410807,0.42369227054,1.09059124688,0.376912690394,0.583333333333,0.144337567297,0,0
kg_base_al,3,knowledge,3,4,4,4,2.40668018619,0.848483771742,2.45555928755,1.30416014454,3.67521323657,1.36219240906,2.4028737545,0.19252192518,0.0833333333333,0.144337567297,0.666666666667,0.381881307913
kg_base_rag,1,coverage_exploration,3,3,3,3,1.8611170749,1.5656590753,1.80536203762,1.56010727046,2.1573626791,1.7584634384,1.83123140865,0.369766466624,0.222222222222,0.38490017946,0.666666666667,0.57735026919
kg_base_rag,1,evidence_prior,3,3,3,3,3.30045627521,1.25131011996,3.31939749418,1.85043266307,4.72655499615,0.604043091079,3.20405075285,0.613593296404,0,0,0.777777777778,0.38490017946
kg_base_rag,1,hypothesis_target,3,8,8,8,2.25084019808,0.443790200551,2.28653133788,0.636989581559,4.39294816614,0.444316006087,2.33475962281,0.281605974367,0.0416666666667,0.0721687836487,0.666666666667,0.190940653956
kg_base_rag,1,matched_control,3,2,2,2,0.533993264441,0.673712593298,0.533993264441,0.673712593298,1.05992065992,1.3466756459,0.726255317529,0.46420802217,0.666666666667,0.288675134595,0.166666666667,0.288675134595
kg_base_rag,2,coverage_exploration,3,3,3,3,1.03105494029,1.09495893382,0.895594632408,1.35943956646,2.06760619518,1.88874940343,1.25308902396,1.27884677606,0.444444444444,0.509175077217,0.333333333333,0.333333333333
