condition,fold,round_id,selected_predicted_mean,selected_predicted_median,selected_uncertainty_mean,acquisition_mean,knowledge_mean,wet_mean,wet_median,dry_minus_wet_mean,prediction_wet_pearson,acquisition_wet_pearson,knowledge_wet_pearson
kg_base,0,1,2.30281804875,2.26263821125,0.754522848874,1.91210671874,0.362241877345,2.18370380229,2.2824745173,0.119114246454,0.880916988171,0.662126965632,0.465886565134
kg_base,0,2,1.79611738771,1.70807111263,0.738641949371,2.05910006663,0.59738225795,1.41225933219,0.704564517819,0.383858055524,0.873746548061,-0.0732870046277,0.724669106544
kg_base,0,3,0.707597583532,0.717726677656,0.716709408909,1.78403999088,0.484923025391,1.13292187786,0.33357783706,-0.425324294323,0.475579964298,0.456087255014,0.425195501215
kg_base,1,1,2.13798223063,2.20640432835,0.75785022229,1.90819294326,0.344034002625,2.64789555126,2.68439013839,-0.509913320629,0.857427867987,0.567553573314,0.561749310351
kg_base,1,2,2.65346795693,3.03456628323,0.584209360182,1.87342264733,0.643913760839,2.56480804409,2.78447243404,0.0886599128382,0.97379087035,0.585251456307,0.919998322267
kg_base,1,3,1.68172124028,1.58232194185,0.574996683747,1.82372930518,0.640251407984,1.06112034622,0.439139569438,0.620600894061,0.692365599475,0.14513594699,0.546075744125
kg_base,2,1,2.43209714442,2.36842095852,0.694760942832,1.95962749495,0.410674271806,2.28881227802,2.40309729585,0.143284866407,0.827243516693,0.217574976399,0.397630786667
kg_base,2,2,1.73979667574,1.6239349246,0.66805463843,1.73331724261,0.541704278717,1.02250634655,0.0450182807896,0.71729032919,0.79827379323,-0.448025068811,0.0127167992782
kg_base,2,3,1.4011389222,1.19365847111,0.677891530097,1.76375498066,0.395589730278,1.26902571957,0.977533729839,0.132113202631,0.46492476751,0.220845375188,0.323037223896
kg_base_al,0,1,3.07822667062,3.01010358334,0.634714959189,0.634072580645,0.478117289255,3.52116485017,3.52635458333,-0.442938179543,0.85419823095,0.708555758612,0.472630426247
kg_base_al,0,2,2.60300820321,2.84118103981,0.562420485541,0.620967741935,0.771117725792,2.01212127608,2.56677294912,0.59088692713,0.88258273242,0.685289043737,0.619477428128
kg_base_al,0,3,1.91410170496,2.15899193287,0.691236706451,0.633568548387,0.656471685954,1.41745225067,1.18379920316,0.49664945429,0.698072272813,0.478967249883,0.114542200984
kg_base_al,1,1,2.83722187579,2.83126807213,0.645707760006,0.646673387097,0.400770452132,3.27527013646,3.26220372213,-0.438048260671,0.811426967432,0.732964127544,0.649779924358
kg_base_al,1,2,2.58886496723,2.63585305214,0.558376034722,0.613407258065,0.761719814514,2.40357601096,2.57896679767,0.185288956263,0.64191385573,0.524685970293,0.748587143688
kg_base_al,1,3,2.05402625725,2.3130761385,0.74692295678,0.665322580645,0.649284148069,1.98956683207,2.34836682108,0.0644594251805,0.810847795609,0.393059995096,0.519217992173
kg_base_al,2,1,2.95835311711,2.97799563408,0.63314649649,0.611391129032,0.467745764918,3.19657594052,3.35790516635,-0.238222823413,0.783731649394,0.511149189303,0.193411735361
kg_base_al,2,2,2.49542555958,2.6334643364,0.628170026466,0.651713709677,0.7427222954,2.07570800099,2.46698090755,0.419717558589,0.700589173078,0.524659765591,0.704944684061
kg_base_al,2,3,2.38519960642,2.53656935692,0.680041518062,0.664818548387,0.667805363006,2.23213288584,2.63387458086,0.15306672058,0.806459307402,0.534026507193,0.381140215332
kg_base_rag,0,1,2.47383010387,2.4668585062,0.694220075384,1.91372383011,0.424660390904,2.61815851673,2.75272641069,-0.144328412853,0.893881030658,0.307202075024,0.662712900537
kg_base_rag,0,2,2.40561950207,2.8395639658,0.637995159253,1.71020180475,0.615622997989,2.24317019894,2.56677294912,0.162449303128,0.953062272812,0.651409955449,0.864242281308
kg_base_rag,0,3,2.09079214185,2.1788122654,0.56796704419,1.78400890222,0.64203915574,1.79916445327,1.67481177331,0.291627688587,0.518777997833,0.0475560096188,0.259446300281
kg_base_rag,1,1,1.95553270727,1.92030072212,0.756943935528,1.67608699076,0.371674984531,1.39160906668,0.836284647568,0.563923640589,0.584090027185,-0.132135617317,0.277656695774
kg_base_rag,1,2,2.52760446817,2.1313341856,0.712657287717,2.27524524603,0.55004322375,2.11257923077,2.32470781168,0.415025237395,0.830325590577,-0.194678491605,0.171877247764
kg_base_rag,1,3,1.21594727039,0.917691916227,0.686757778749,1.67306320912,0.526314836723,0.814333492891,0.257255572584,0.401613777503,0.635451499101,-0.320165539479,0.35655165853
kg_base_rag,2,1,2.17746858299,2.17579603195,0.650251219049,2.03324446722,0.374050887894,2.47012519731,2.41767802096,-0.292656614323,0.897778842523,0.112200227766,0.675709542244
kg_base_rag,2,2,2.83393170685,3.23566794395,0.562337111682,2.15566763643,0.640600392645,2.3700736586,2.98933723404,0.463858048244,0.931044516538,0.703068676865,0.842452991868
kg_base_rag,2,3,2.11905026436,2.21257460117,0.582622900605,2.10657366109,0.645016300663,1.4505924077,1.52101885548,0.668457856655,0.598140490195,0.0757056557514,0.546519107483
