condition,fold,seed,assignment_sha256,run_id,round_id,query_budget,visible_observations,best_seen_fitness,visible_mean_fitness,batch_best_fitness,batch_mean_fitness,batch_median_fitness
agent_only,0,11,41fcd7846fac25e1b92a5618a2f23bb9485ba3853ba1589bf49a582144e643bf,knowledge_agent-s11-f00-GB1-hierarchical-agent_only-f00-20260821T110701100144Z,0,0,96,4.07312564853,0.596386068846,,,
agent_only,0,11,41fcd7846fac25e1b92a5618a2f23bb9485ba3853ba1589bf49a582144e643bf,knowledge_agent-s11-f00-GB1-hierarchical-agent_only-f00-20260821T110701100144Z,1,16,112,4.07312564853,0.798392164243,3.95087308632,2.01042873662,2.12934895217
agent_only,0,11,41fcd7846fac25e1b92a5618a2f23bb9485ba3853ba1589bf49a582144e643bf,knowledge_agent-s11-f00-GB1-hierarchical-agent_only-f00-20260821T110701100144Z,2,32,128,4.4857497292,0.941981638422,4.4857497292,1.94710795767,1.86582809291
agent_only,0,11,41fcd7846fac25e1b92a5618a2f23bb9485ba3853ba1589bf49a582144e643bf,knowledge_agent-s11-f00-GB1-hierarchical-agent_only-f00-20260821T110701100144Z,3,48,144,4.4857497292,1.04947099999,4.33564342865,1.9093858925,2.27425512883
agent_only,1,11,72daebcd0f1722a1158cf439068c922b956c9a0954fd50fbc0eaf6090850b327,knowledge_agent-s11-f01-GB1-hierarchical-agent_only-f01-20260821T110701107153Z,0,0,96,4.07312564853,0.596386068846,,,
agent_only,1,11,72daebcd0f1722a1158cf439068c922b956c9a0954fd50fbc0eaf6090850b327,knowledge_agent-s11-f01-GB1-hierarchical-agent_only-f01-20260821T110701107153Z,1,16,112,4.07312564853,0.791275502337,3.95087308632,1.96061210328,2.39057503007
agent_only,1,11,72daebcd0f1722a1158cf439068c922b956c9a0954fd50fbc0eaf6090850b327,knowledge_agent-s11-f01-GB1-hierarchical-agent_only-f01-20260821T110701107153Z,2,32,128,4.4857497292,0.95665594554,4.4857497292,2.11431904797,2.35183390378
agent_only,1,11,72daebcd0f1722a1158cf439068c922b956c9a0954fd50fbc0eaf6090850b327,knowledge_agent-s11-f01-GB1-hierarchical-agent_only-f01-20260821T110701107153Z,3,48,144,4.4857497292,0.962491344075,4.14772078849,1.00917453235,0.0825905408117
agent_only,2,11,f2e855f751b46e9a8dbc98f7f0db16123cc6749634207f786445dd57052ef668,knowledge_agent-s11-f02-GB1-hierarchical-agent_only-f02-20260821T111825242654Z,0,0,96,4.07312564853,0.596386068846,,,
agent_only,2,11,f2e855f751b46e9a8dbc98f7f0db16123cc6749634207f786445dd57052ef668,knowledge_agent-s11-f02-GB1-hierarchical-agent_only-f02-20260821T111825242654Z,1,16,112,4.23915557841,0.759802049225,4.23915557841,1.7402979315,1.9204292123
agent_only,2,11,f2e855f751b46e9a8dbc98f7f0db16123cc6749634207f786445dd57052ef668,knowledge_agent-s11-f02-GB1-hierarchical-agent_only-f02-20260821T111825242654Z,2,32,128,4.23915557841,0.871828882357,3.35884837877,1.65601671428,1.67657459574
agent_only,2,11,f2e855f751b46e9a8dbc98f7f0db16123cc6749634207f786445dd57052ef668,knowledge_agent-s11-f02-GB1-hierarchical-agent_only-f02-20260821T111825242654Z,3,48,144,4.38774529032,1.00266230562,4.38774529032,2.04932969173,2.40981536962
fitness_direct,0,42,41fcd7846fac25e1b92a5618a2f23bb9485ba3853ba1589bf49a582144e643bf,fitness_direct-s42-f00-al96-fitness_direct-20260820T102642880436Z,0,0,96,4.07312564853,0.596386068846,,,
fitness_direct,0,42,41fcd7846fac25e1b92a5618a2f23bb9485ba3853ba1589bf49a582144e643bf,fitness_direct-s42-f00-al96-fitness_direct-20260820T102642880436Z,1,16,112,4.07312564853,0.542886486257,3.46384628304,0.221888990721,0.00449648544426
fitness_direct,0,42,41fcd7846fac25e1b92a5618a2f23bb9485ba3853ba1589bf49a582144e643bf,fitness_direct-s42-f00-al96-fitness_direct-20260820T102642880436Z,2,32,128,4.07312564853,0.477317457259,0.179306854549,0.0183342542705,0.00302087915306
fitness_direct,0,42,41fcd7846fac25e1b92a5618a2f23bb9485ba3853ba1589bf49a582144e643bf,fitness_direct-s42-f00-al96-fitness_direct-20260820T102642880436Z,3,48,144,4.07312564853,0.442762139493,1.76126924027,0.166319597368,0.00966840523593
fitness_direct,1,42,72daebcd0f1722a1158cf439068c922b956c9a0954fd50fbc0eaf6090850b327,fitness_direct-s42-f01-al96-fitness_direct-20260820T103518212856Z,0,0,96,4.07312564853,0.596386068846,,,
fitness_direct,1,42,72daebcd0f1722a1158cf439068c922b956c9a0954fd50fbc0eaf6090850b327,fitness_direct-s42-f01-al96-fitness_direct-20260820T103518212856Z,1,16,112,4.07312564853,0.529880800416,1.45347223006,0.130849189833,0.00488965904261
fitness_direct,1,42,72daebcd0f1722a1158cf439068c922b956c9a0954fd50fbc0eaf6090850b327,fitness_direct-s42-f01-al96-fitness_direct-20260820T103518212856Z,2,32,128,4.07312564853,0.505660281417,3.61285635523,0.336116648423,0.00668353418882
fitness_direct,1,42,72daebcd0f1722a1158cf439068c922b956c9a0954fd50fbc0eaf6090850b327,fitness_direct-s42-f01-al96-fitness_direct-20260820T103518212856Z,3,48,144,4.07312564853,0.453867533489,0.294861112701,0.0395255500683,0.00746003826702
fitness_direct,2,42,f2e855f751b46e9a8dbc98f7f0db16123cc6749634207f786445dd57052ef668,fitness_direct-s42-f02-al96-fitness_direct-20260820T103739865434Z,0,0,96,4.07312564853,0.596386068846,,,
